Features,r_dicho_MinMax,r_dicho_Standard,b_dicho_MinMax,b_dicho_Standard
Return_from_market_max,1,1,37,37
ROI_max,2,2,112,111
Average_payment_period_median,3,3,184,185
Return_max,4,4,28,28
Average_payment_period_min,5,35,29,29
Return_mean,6,5,30,30
Operating_assets_Ratio_max,7,6,32,32
EPS_growth_median,8,7,47,47
Debt_to_equity_ratio_min,9,8,95,93
Debt_to_equity_ratio_mean,10,16,100,144
Total_income_growth_median,11,10,70,68
ROA_max,12,12,163,117
Debt_to_total_assets_ratio_max,13,13,83,81
Equity_Ratio_mean,14,40,120,95
ROI_mean,15,14,101,98
Debt_to_total_assets_ratio_min,16,15,142,145
Profit_margin_growth_rate_median,17,9,173,173
Debt_to_equity_ratio_max,18,25,131,90
Return_ratio_without_risk_min,19,18,129,129
Debt_to_total_assets_ratio_mean,20,19,155,157
Cash_to_total_assets_ratio_max,21,17,134,137
Debt_to_total_assets_ratio_median,22,21,151,154
Liquidity_ratios_min,23,24,169,169
Liquidity_ratios_max,24,26,170,171
Equity_Ratio_median,25,27,109,107
DuPont_Ratio_max,26,28,144,147
Longterm_debt_to_equity_ratio_median,27,36,53,83
Profit_margin_before_interest_and_taxes_min,28,30,136,138
Equity_Ratio_min,29,11,113,124
Debt_to_equity_ratio_median,30,29,57,58
DuPont_Ratio_median,31,23,58,59
Operating_cash_flow_to_sales_min,32,31,186,188
Equity_Ratio_max,33,20,63,85
Profit_margin_before_interest_and_taxes_mean,34,33,73,166
Longterm_debt_to_equity_ratio_min,35,34,140,143
Return_median,36,37,74,75
Profit_margin_before_interest_and_taxes_median,37,39,166,164
Current_debt_to_total_debt_Ratio_min,38,42,69,67
ROI_median,39,43,71,70
P_to_S_median,40,41,133,135
Profit_margin_growth_rate_max,41,50,178,121
Return_from_market_mean,42,44,36,36
Return_min,43,45,81,80
Current_debt_to_total_debt_Ratio_median,44,46,84,62
Liquidity_ratios_mean,45,47,172,172
Liquidity_ratios_median,46,48,121,118
Cash_to_total_assets_ratio_mean,47,49,148,152
Quick_Ratio_min,48,55,165,184
Current_debt_to_total_debt_Ratio_max,49,51,89,87
Net_working_capital_min,50,52,34,34
Net_return_on_working_capital_median,51,53,82,50
Current_assets_ratio_median,52,54,171,187
ROA_mean,53,56,62,63
Average_payment_period_mean,54,57,181,182
Total_income_growth_mean,55,58,105,103
Current_ratio_min,56,59,156,158
Return_ratio_without_risk_median,57,60,50,51
Net_return_on_working_capital_max,58,61,176,177
Operating_cash_flow_to_sales_median,59,62,161,165
Profit_margin_growth_rate_mean,60,63,179,175
Quick_Ratio_median,61,64,162,162
DuPont_Ratio_mean,62,38,78,54
Total_asset_turnover_median,63,22,66,65
Working_capital_return_median,64,65,33,33
Cash_to_total_assets_ratio_median,65,66,187,174
Quick_Ratio_mean,66,67,147,151
Current_ratio_median,67,68,167,167
Sales_growth_rate_mean,68,69,180,181
ROI_min,69,70,117,115
Net_working_capital_median,70,71,46,46
EPS_growth_mean,71,72,111,110
Sale_to_current_assets_max,72,32,79,78
Longterm_debt_to_equity_ratio_mean,73,73,127,126
Cash_to_total_assets_ratio_min,74,75,164,163
Net_profit_margin_median,75,77,96,94
P_to_E_min,76,76,138,141
Operating_cash_flow_to_sales_mean,77,78,168,168
ROE_min,78,79,87,84
Current_ratio_mean,79,80,185,186
ROA_median,80,81,44,44
Sale_to_current_assets_median,81,103,43,43
Sale_to_current_assets_min,82,82,102,100
Current_ratio_max,83,90,174,176
EPS_max,84,83,118,127
Total_income_growth_max,85,84,104,102
Beta_median,86,86,22,22
Sale_to_current_assets_mean,87,87,56,57
Operating_profit_margin_min,88,88,137,140
Net_profit_margin_max,89,89,126,125
Total_asset_turnover_min,90,91,55,56
ROE_mean,91,92,68,170
P_to_B_max,92,93,12,12
Current_assets_ratio_mean,93,94,159,161
P_to_E_median,94,95,91,89
Operating_profit_margin_mean,95,96,76,74
Net_profit_margin_min,96,97,115,114
Sales_growth_rate_median,97,98,183,183
EPS_mean,98,99,67,66
ROA_min,99,100,116,112
EPS_growth_max,100,101,128,128
Operating_cash_flow_to_sales_max,101,102,158,160
P_to_S_min,102,85,145,148
Net_profit_to_sale_median,103,104,7,7
Net_profit_margin_mean,104,105,182,136
Gross_profit_margin_min,105,106,80,79
