Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,77.28 ± 1.4,77.18 ± 1.58,81.66 ± 4.44,73.64 ± 3.3,55.37 ± 3.32,78.2 ± 1.62,77.65 ± 1.69,86.23 ± 1.22
MinMax,GB,80.44 ± 0.79,81.65 ± 1.09,85.24 ± 2.02,78.82 ± 2.77,63.93 ± 1.85,82.72 ± 1.33,82.03 ± 0.95,89.07 ± 0.58
MinMax,LR,79.86 ± 0.5,80.88 ± 0.58,86.26 ± 1.66,76.64 ± 1.75,62.73 ± 1.07,81.7 ± 0.75,81.45 ± 0.53,88.79 ± 0.39
MinMax,RF,80.48 ± 1.78,81.3 ± 1.82,85.02 ± 2.09,78.37 ± 3.37,63.19 ± 3.3,82.35 ± 2.04,81.69 ± 1.68,88.79 ± 1.06
MinMax,SVM,80.2 ± 0.64,81.75 ± 0.9,87.16 ± 1.72,77.48 ± 2.18,64.45 ± 1.6,82.54 ± 1.09,82.32 ± 0.81,89.39 ± 0.54
Standard,DT,77.29 ± 1.39,77.17 ± 1.55,81.74 ± 4.18,73.56 ± 3.29,55.36 ± 3.21,78.17 ± 1.65,77.65 ± 1.62,86.23 ± 1.19
Standard,GB,80.45 ± 0.8,81.65 ± 1.07,85.2 ± 1.96,78.86 ± 2.71,63.93 ± 1.83,82.73 ± 1.32,82.03 ± 0.94,89.06 ± 0.57
Standard,LR,79.95 ± 0.45,81.15 ± 0.65,85.6 ± 1.79,77.64 ± 1.87,63.03 ± 1.16,82.11 ± 0.82,81.62 ± 0.61,88.82 ± 0.41
Standard,RF,80.5 ± 1.79,81.33 ± 1.85,85.09 ± 2.12,78.36 ± 3.44,63.26 ± 3.35,82.37 ± 2.06,81.72 ± 1.7,88.81 ± 1.07
Standard,SVM,80.36 ± 0.66,81.39 ± 0.96,85.77 ± 1.98,77.95 ± 2.24,63.48 ± 1.78,82.36 ± 1.11,81.86 ± 0.9,88.94 ± 0.62
