Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,80.74 ± 1.2,67.53 ± 6.97,54.01 ± 11.39,71.0 ± 10.49,24.64 ± 8.06,74.76 ± 8.92,62.5 ± 4.31,90.44 ± 1.48
MinMax,GB,81.01 ± 0.67,74.24 ± 3.76,67.59 ± 10.33,76.1 ± 5.93,40.3 ± 6.8,81.5 ± 3.95,71.85 ± 4.0,93.06 ± 1.13
MinMax,LR,82.71 ± 0.69,79.37 ± 3.91,82.55 ± 5.6,78.55 ± 4.84,54.21 ± 6.41,85.34 ± 3.27,80.55 ± 3.44,95.22 ± 1.0
MinMax,RF,82.4 ± 1.17,73.45 ± 4.6,76.06 ± 7.94,72.81 ± 6.23,43.32 ± 7.42,80.49 ± 4.17,74.44 ± 3.98,93.48 ± 1.24
MinMax,SVM,81.43 ± 0.86,71.78 ± 3.94,80.07 ± 7.47,69.68 ± 5.39,42.43 ± 6.12,79.01 ± 3.66,74.87 ± 3.59,93.64 ± 1.2
Standard,DT,80.73 ± 1.19,67.64 ± 7.09,53.95 ± 11.6,71.17 ± 10.71,24.84 ± 8.12,74.82 ± 9.05,62.56 ± 4.3,90.48 ± 1.44
Standard,GB,80.98 ± 0.66,74.19 ± 3.79,67.53 ± 10.29,76.06 ± 5.97,40.17 ± 6.9,81.47 ± 3.94,71.8 ± 4.01,93.04 ± 1.13
Standard,LR,83.05 ± 0.84,79.5 ± 3.61,85.68 ± 6.11,77.94 ± 4.65,55.75 ± 5.99,85.34 ± 3.09,81.81 ± 3.3,95.62 ± 0.97
Standard,RF,82.41 ± 1.19,73.69 ± 4.6,76.04 ± 7.95,73.12 ± 6.31,43.66 ± 7.22,80.7 ± 4.18,74.58 ± 3.92,93.54 ± 1.2
Standard,SVM,81.57 ± 0.59,74.38 ± 3.79,81.7 ± 6.45,72.54 ± 5.25,46.82 ± 5.45,81.18 ± 3.53,77.12 ± 3.1,94.35 ± 1.04
