Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
DuPont_Ratio,1,1,6,3,1,1,1,7,1,3,2,1,1,1,9,2,3,1,1,1,1,2,9,2,1,1,2.48,2.5019992006393608
P_to_B,2,3,2,1,2,8,2,3,2,1,1,2,2,3,1,1,1,7,3,2,4,1,6,1,6,1,2.68,2.0149441679609885
Capital,9,10,3,4,3,5,3,1,8,2,6,5,6,6,2,3,2,3,2,4,9,3,1,4,5,3,4.36,2.5311394008759507
Net_profit_to_Gross_profit,5,5,1,5,4,2,6,4,9,4,3,6,3,10,3,5,4,2,4,7,6,4,2,5,2,4,4.44,2.142428528562855
Current_ratio,4,4,17,31,24,7,4,11,11,6,9,4,13,4,22,17,32,12,20,3,2,16,23,8,11,4,12.6,8.751190395216717
Operating_profit_to_sale,8,6,4,7,6,4,7,5,7,7,4,8,5,9,5,6,5,9,5,9,5,6,4,3,4,5,5.92,1.7540429489230491
Net_profit_to_sale,10,8,5,2,7,3,5,6,5,5,8,10,4,11,6,4,6,5,6,10,10,5,5,6,3,5,6.2,2.4664414311581235
Net_working_capital,11,9,7,8,9,13,9,9,10,9,7,7,7,14,7,7,7,13,11,12,11,7,7,9,7,7,9.08,2.2345767682792492
Operating_cash_flow_to_sales,21,7,13,16,13,11,19,8,39,36,10,9,42,2,36,15,38,21,42,11,12,10,3,7,30,7,18.84,12.934707830742319
Debt_to_equity_ratio,6,17,16,19,8,18,12,17,4,15,13,14,11,8,16,13,10,6,10,8,8,13,17,15,14,8,12.32,4.220189569201838
Quick_Ratio,7,2,8,13,12,9,8,35,12,8,14,3,28,27,20,24,16,8,16,5,3,22,30,31,13,8,14.96,9.641403770544342
Stock_market_value,16,11,11,9,11,10,18,10,13,12,15,12,8,19,8,9,9,10,9,14,14,8,14,10,9,9,11.56,3.096772513440405
Equity_Ratio,3,14,12,10,5,19,10,13,3,10,12,13,9,7,15,8,29,4,8,6,7,11,18,13,10,10,10.76,5.666274496233541
