Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,64.72 ± 0.55,56.91 ± 2.94,51.08 ± 8.94,60.34 ± 9.23,12.41 ± 3.26,61.64 ± 5.9,55.71 ± 1.61,76.83 ± 1.63
MinMax,GB,66.32 ± 0.98,63.0 ± 3.13,62.1 ± 4.76,63.53 ± 4.6,25.13 ± 5.88,68.08 ± 3.46,62.81 ± 3.02,80.32 ± 1.86
MinMax,LR,65.36 ± 0.54,62.33 ± 2.26,59.44 ± 2.45,64.02 ± 4.08,23.04 ± 3.6,67.92 ± 2.71,61.73 ± 1.79,79.78 ± 1.25
MinMax,RF,64.89 ± 2.21,61.48 ± 2.55,59.45 ± 4.49,62.68 ± 3.92,21.75 ± 4.94,66.92 ± 2.71,61.06 ± 2.52,79.38 ± 1.49
MinMax,SVM,65.55 ± 0.65,61.76 ± 2.73,58.76 ± 5.13,63.53 ± 4.27,21.97 ± 5.33,67.35 ± 2.94,61.14 ± 2.74,79.51 ± 1.6
Standard,DT,64.73 ± 0.56,56.88 ± 2.94,51.1 ± 8.9,60.29 ± 9.25,12.38 ± 3.2,61.58 ± 5.98,55.69 ± 1.56,76.79 ± 1.64
Standard,GB,66.27 ± 0.95,62.93 ± 3.09,62.13 ± 4.73,63.4 ± 4.6,25.05 ± 5.78,67.97 ± 3.43,62.76 ± 2.98,80.29 ± 1.82
Standard,LR,65.82 ± 0.54,62.28 ± 2.04,58.83 ± 2.87,64.31 ± 3.69,22.78 ± 3.44,67.96 ± 2.43,61.57 ± 1.72,79.75 ± 1.15
Standard,RF,64.84 ± 2.2,61.38 ± 2.67,59.8 ± 4.55,62.31 ± 4.17,21.7 ± 5.08,66.74 ± 2.89,61.05 ± 2.59,79.34 ± 1.56
Standard,SVM,65.36 ± 0.5,60.67 ± 2.58,58.23 ± 3.86,62.1 ± 4.19,19.99 ± 4.68,66.24 ± 2.91,60.17 ± 2.37,78.84 ± 1.48
