Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
Sales_growth_rate,2,4,2,3,2,3,3,2,2,2,3,2,5,6,2,2,2,3,2,2,3,3,2,2,2,2,2.64,1.036018017861337
Operating_assets_Ratio,3,3,3,2,3,2,5,3,3,3,2,3,4,4,3,3,3,2,4,5,2,4,4,3,3,3,3.16,0.8504900548115384
ROI,4,2,4,5,4,4,2,4,4,5,4,4,2,3,4,5,4,4,3,3,4,2,3,5,5,4,3.72,0.9797958971132712
ROA,5,5,5,6,5,5,4,5,5,6,5,5,3,5,6,6,5,5,5,4,5,5,5,6,6,5,5.08,0.7023769168568492
P_to_B,6,6,6,4,6,6,7,6,6,4,6,6,6,7,5,4,6,6,6,6,6,6,6,4,7,6,5.76,0.879393730551528
ROE,7,7,7,7,7,7,6,7,7,7,8,7,7,2,7,7,7,7,7,7,7,7,7,7,4,7,6.68,1.1803954139750517
EPS,8,10,10,8,11,11,10,10,8,8,12,10,8,12,9,8,12,9,8,9,8,9,8,12,9,8,9.48,1.4753530650887154
P_to_S,30,8,8,31,30,30,9,8,9,9,7,9,28,30,29,29,8,28,31,29,28,30,29,28,8,8,20.92,10.555093557141026
DuPont_Ratio,14,11,12,12,8,9,8,18,13,11,9,11,13,9,14,11,10,8,12,10,9,12,11,9,12,9,11.04,2.318045153428495
Net_profit_margin,20,13,17,9,12,10,15,9,18,16,20,15,14,8,18,12,13,15,9,16,16,10,12,8,18,9,13.72,3.736308338453881
DPS,10,17,11,14,13,18,20,26,11,10,23,16,9,13,16,9,20,17,13,17,18,19,9,11,19,9,15.16,4.642915750545843
Cash_to_total_assets_ratio,13,9,9,10,9,8,11,19,12,14,11,8,10,11,8,10,9,11,10,12,10,11,10,10,10,10,10.6,2.29128784747792
Operating_profit_margin,9,12,15,13,10,12,12,11,10,18,16,12,11,10,10,14,15,10,11,8,11,8,13,16,11,10,11.92,2.5645012510557814
Stock_market_value,26,25,24,19,25,24,13,13,21,21,24,13,22,23,13,13,23,21,23,20,20,20,16,19,25,13,20.24,4.352011029397789
Operating_cash_flow_to_sales,18,16,13,28,23,25,23,28,38,13,19,14,39,36,35,17,19,20,15,33,37,31,14,42,21,13,24.68,9.308240077121631
Equity_Ratio,16,18,23,11,15,14,17,25,17,12,15,28,12,17,15,18,17,13,18,11,13,15,15,15,16,15,16.24,4.075127809856602
Current_assets_ratio,11,20,16,26,17,19,30,15,19,19,13,29,16,20,11,20,21,25,21,15,15,16,21,25,14,15,18.96,5.10294032886923
Debt_to_equity_ratio,15,15,22,18,14,13,16,23,16,15,14,17,21,16,12,16,16,12,19,13,12,18,17,14,13,16,15.88,3.018277654557314
Total_income_growth,17,19,28,20,16,17,18,12,23,17,26,27,24,22,20,19,22,18,17,21,14,14,22,13,17,17,19.32,4.239889935678362
EPS_growth,27,22,21,16,26,20,14,17,31,20,17,23,27,21,26,22,26,24,16,19,29,17,23,18,22,17,21.76,4.465422712353221
Gross_profit_margin,24,14,19,17,18,15,21,16,14,22,18,18,15,15,19,26,18,22,14,14,19,13,18,24,15,18,17.92,3.5930488446443363
Net_profit_to_sale,19,24,25,22,20,22,24,21,25,24,25,19,18,24,25,21,25,19,22,22,23,21,26,22,24,22,22.48,2.293468988235943
Operating_profit_to_sale,21,27,27,23,28,26,26,20,29,27,28,21,26,25,27,23,29,23,25,25,24,28,28,23,29,23,25.52,2.663331247391757
Profit_margin_before_interest_and_taxes,25,21,18,15,19,16,25,14,15,25,22,25,17,14,21,15,14,16,20,18,17,23,19,20,23,25,19.08,3.796050579220461
Net_profit_to_Gross_profit,23,26,26,24,24,27,28,24,28,28,30,20,23,28,22,24,28,26,26,24,21,26,27,21,26,26,25.2,2.598076211353316
Sale_to_current_assets,28,23,20,25,22,21,29,27,20,26,33,22,30,18,17,27,31,14,27,23,22,29,20,26,27,27,24.28,4.7038990918882035
Fixed_asset_turnover,32,29,30,33,27,34,33,31,27,23,35,30,29,27,23,33,30,29,28,27,30,24,25,32,33,27,29.36,3.4019602192461527
Net_working_capital,29,28,29,21,29,28,22,22,24,29,32,24,25,19,28,25,33,27,24,26,25,27,30,17,31,29,26.16,3.965265859098647
Current_ratio,22,34,42,35,21,36,27,32,22,32,21,38,20,39,31,32,24,39,32,38,26,22,39,40,30,32,30.96,7.073895673530957
Working_capital_return,33,31,33,36,32,35,38,36,34,33,31,37,32,40,32,35,37,34,29,30,32,35,33,33,37,33,33.92,2.6602004936971695
Capital,35,35,41,32,34,32,31,34,33,36,37,34,31,38,37,34,38,30,34,32,31,37,31,36,35,34,34.32,2.749545416973504
Debt_to_total_assets_ratio,36,33,32,40,41,29,34,37,41,30,36,35,33,41,34,37,36,32,35,39,39,25,32,34,34,34,35.0,3.958114029012639
Liquidity_ratios,34,30,34,43,36,31,36,33,32,39,34,40,35,35,36,36,35,35,30,37,33,32,35,29,36,35,34.64,3.173851498311371
