Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,"(88.12, 55)","(87.7, 62)","(86.67, 55)","(96.36, 115)","(65.32, 34)","(92.54, 40)","(85.31, 139)","(96.51, 139)"
MinMax,GB,"(86.5, 45)","(93.44, 171)","(96.67, 74)","(94.54, 171)","(80.9, 171)","(95.81, 171)","(92.24, 188)","(98.21, 188)"
MinMax,LR,"(87.21, 39)","(89.79, 17)","(93.33, 35)","(93.55, 26)","(72.0, 17)","(93.55, 26)","(86.91, 17)","(96.97, 6)"
MinMax,RF,"(87.96, 45)","(89.15, 161)","(100.0, 67)","(91.82, 48)","(73.01, 61)","(93.01, 147)","(89.98, 67)","(97.93, 67)"
MinMax,SVM,"(87.58, 40)","(86.24, 16)","(96.0, 132)","(90.91, 3)","(67.03, 16)","(91.28, 3)","(85.13, 33)","(96.54, 33)"
Standard,DT,"(87.76, 55)","(87.7, 81)","(89.33, 161)","(96.36, 115)","(65.32, 34)","(92.54, 40)","(85.31, 139)","(96.51, 139)"
Standard,GB,"(86.69, 179)","(93.44, 170)","(96.67, 74)","(95.45, 170)","(80.71, 181)","(95.83, 170)","(92.7, 188)","(98.3, 188)"
Standard,LR,"(88.48, 38)","(88.36, 2)","(93.33, 32)","(91.82, 2)","(69.44, 5)","(92.53, 2)","(87.16, 34)","(97.1, 34)"
Standard,RF,"(87.96, 45)","(89.89, 118)","(100.0, 161)","(93.64, 48)","(74.13, 118)","(93.49, 48)","(89.98, 67)","(97.93, 67)"
Standard,SVM,"(87.4, 36)","(90.5, 39)","(93.33, 27)","(91.77, 39)","(73.97, 39)","(93.76, 39)","(88.22, 39)","(97.31, 39)"
