Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,84.23 ± 1.17,78.32 ± 4.69,60.52 ± 9.52,82.92 ± 6.41,42.76 ± 8.31,84.95 ± 5.1,71.72 ± 4.54,93.04 ± 1.26
MinMax,GB,83.8 ± 0.86,83.4 ± 3.99,81.76 ± 7.85,83.85 ± 4.33,59.5 ± 8.84,88.71 ± 2.95,82.81 ± 4.71,95.81 ± 1.25
MinMax,LR,84.3 ± 0.79,77.02 ± 5.19,78.06 ± 5.38,76.81 ± 6.52,49.24 ± 8.03,83.42 ± 4.43,77.43 ± 3.96,94.26 ± 1.16
MinMax,RF,84.91 ± 1.23,80.43 ± 3.66,82.17 ± 7.31,80.01 ± 4.8,55.76 ± 6.83,86.17 ± 3.01,81.09 ± 3.71,95.34 ± 1.06
MinMax,SVM,84.01 ± 1.14,75.19 ± 5.27,76.91 ± 6.42,74.71 ± 7.17,46.36 ± 7.3,81.82 ± 4.77,75.81 ± 3.65,93.94 ± 1.1
Standard,DT,84.22 ± 1.17,78.38 ± 4.67,60.24 ± 9.53,83.05 ± 6.37,42.66 ± 8.32,85.03 ± 5.03,71.65 ± 4.54,93.03 ± 1.25
Standard,GB,83.81 ± 0.87,83.35 ± 3.96,81.79 ± 7.83,83.78 ± 4.29,59.42 ± 8.77,88.67 ± 2.92,82.78 ± 4.69,95.8 ± 1.24
Standard,LR,85.13 ± 1.24,76.74 ± 4.73,79.06 ± 4.73,76.15 ± 6.13,49.45 ± 7.11,83.1 ± 4.1,77.61 ± 3.38,94.34 ± 1.01
Standard,RF,84.9 ± 1.23,80.42 ± 3.7,82.21 ± 7.24,79.98 ± 4.88,55.73 ± 6.8,86.17 ± 3.05,81.1 ± 3.67,95.34 ± 1.05
Standard,SVM,84.79 ± 0.76,78.46 ± 3.86,77.89 ± 6.23,78.61 ± 5.06,51.15 ± 6.59,84.67 ± 3.28,78.25 ± 3.37,94.49 ± 1.02
