Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,"(84.87, 99)","(82.43, 114)","(90.0, 31)","(92.68, 71)","(47.19, 132)","(89.32, 114)","(75.26, 11)","(94.43, 62)"
MinMax,GB,"(83.23, 124)","(83.89, 142)","(96.0, 5)","(93.59, 142)","(55.11, 112)","(90.22, 142)","(81.23, 20)","(95.55, 155)"
MinMax,LR,"(84.87, 43)","(88.36, 55)","(93.33, 8)","(89.05, 55)","(68.98, 55)","(92.38, 55)","(87.52, 55)","(96.96, 58)"
MinMax,RF,"(85.97, 81)","(85.42, 105)","(96.67, 95)","(94.54, 1)","(61.46, 150)","(90.27, 105)","(84.84, 130)","(96.42, 130)"
MinMax,SVM,"(84.15, 49)","(82.57, 24)","(96.67, 26)","(93.64, 1)","(58.36, 24)","(88.11, 25)","(81.84, 188)","(96.0, 188)"
Standard,DT,"(84.5, 80)","(82.54, 100)","(86.67, 51)","(92.68, 106)","(55.04, 100)","(88.92, 98)","(77.71, 100)","(94.97, 100)"
Standard,GB,"(83.05, 122)","(85.37, 113)","(92.67, 125)","(94.54, 113)","(54.58, 163)","(91.1, 113)","(81.23, 20)","(95.4, 20)"
Standard,LR,"(86.33, 24)","(88.31, 99)","(96.67, 157)","(89.83, 99)","(68.63, 99)","(92.34, 95)","(86.7, 184)","(96.98, 184)"
Standard,RF,"(85.06, 65)","(86.22, 149)","(93.33, 166)","(93.63, 1)","(65.45, 108)","(90.18, 149)","(86.42, 108)","(96.7, 108)"
Standard,SVM,"(83.39, 7)","(84.71, 165)","(96.67, 68)","(93.64, 1)","(61.4, 165)","(89.62, 165)","(83.87, 88)","(96.55, 68)"
