Run_sample,Scaling,Alg,Acc Cv_mean,Acc Cv_std,Acc Te_mean,Acc Te_std,Sp_mean,Sp_std,Se_mean,Se_std,MCC_mean,MCC_std,F1_mean,F1_std,AUC-ROC_mean,AUC-ROC_std,AUPR_mean,AUPR_std
new_stat,MinMax,GB,83.8,0.86,83.4,3.99,81.76,7.85,83.85,4.33,59.5,8.84,88.71,2.95,82.81,4.71,95.81,1.25
new_stat,Standard,GB,83.81,0.87,83.35,3.96,81.79,7.83,83.78,4.29,59.42,8.77,88.67,2.92,82.78,4.69,95.8,1.24
new_stat,MinMax,RF,84.91,1.23,80.43,3.66,82.17,7.31,80.01,4.8,55.76,6.83,86.17,3.01,81.09,3.71,95.34,1.06
new_stat,Standard,RF,84.9,1.23,80.42,3.7,82.21,7.24,79.98,4.88,55.73,6.8,86.17,3.05,81.1,3.67,95.34,1.05
new_stat,Standard,SVM,84.79,0.76,78.46,3.86,77.89,6.23,78.61,5.06,51.15,6.59,84.67,3.28,78.25,3.37,94.49,1.02
new_stat,Standard,LR,85.13,1.24,76.74,4.73,79.06,4.73,76.15,6.13,49.45,7.11,83.1,4.1,77.61,3.38,94.34,1.01
new_stat,MinMax,LR,84.3,0.79,77.02,5.19,78.06,5.38,76.81,6.52,49.24,8.03,83.42,4.43,77.43,3.96,94.26,1.16
new_stat,MinMax,SVM,84.01,1.14,75.19,5.27,76.91,6.42,74.71,7.17,46.36,7.3,81.82,4.77,75.81,3.65,93.94,1.1
new_stat,MinMax,DT,84.23,1.17,78.32,4.69,60.52,9.52,82.92,6.41,42.76,8.31,84.95,5.1,71.72,4.54,93.04,1.26
new_stat,Standard,DT,84.22,1.17,78.38,4.67,60.24,9.53,83.05,6.37,42.66,8.32,85.03,5.03,71.65,4.54,93.03,1.25
new_conv,MinMax,GB,66.32,0.98,63.0,3.13,62.1,4.76,63.53,4.6,25.13,5.88,68.08,3.46,62.81,3.02,80.32,1.86
new_conv,Standard,GB,66.27,0.95,62.93,3.09,62.13,4.73,63.4,4.6,25.05,5.78,67.97,3.43,62.76,2.98,80.29,1.82
new_conv,MinMax,LR,65.36,0.54,62.33,2.26,59.44,2.45,64.02,4.08,23.04,3.6,67.92,2.71,61.73,1.79,79.78,1.25
new_conv,Standard,LR,65.82,0.54,62.28,2.04,58.83,2.87,64.31,3.69,22.78,3.44,67.96,2.43,61.57,1.72,79.75,1.15
new_conv,MinMax,SVM,65.55,0.65,61.76,2.73,58.76,5.13,63.53,4.27,21.97,5.33,67.35,2.94,61.14,2.74,79.51,1.6
new_conv,MinMax,RF,64.89,2.21,61.48,2.55,59.45,4.49,62.68,3.92,21.75,4.94,66.92,2.71,61.06,2.52,79.38,1.49
new_conv,Standard,RF,64.84,2.2,61.38,2.67,59.8,4.55,62.31,4.17,21.7,5.08,66.74,2.89,61.05,2.59,79.34,1.56
new_conv,Standard,SVM,65.36,0.5,60.67,2.58,58.23,3.86,62.1,4.19,19.99,4.68,66.24,2.91,60.17,2.37,78.84,1.48
new_conv,MinMax,DT,64.72,0.55,56.91,2.94,51.08,8.94,60.34,9.23,12.41,3.26,61.64,5.9,55.71,1.61,76.83,1.63
new_conv,Standard,DT,64.73,0.56,56.88,2.94,51.1,8.9,60.29,9.25,12.38,3.2,61.58,5.98,55.69,1.56,76.79,1.64
