Run_sample,Target,Scaling,Alg,Acc Cv_mean,Acc Cv_std,Acc Te_mean,Acc Te_std,Sp_mean,Sp_std,Se_mean,Se_std,MCC_mean,MCC_std,F1_mean,F1_std,AUC-ROC_mean,AUC-ROC_std,AUPR_mean,AUPR_std
new_stat,b_dicho,MinMax,GB,83.8,0.86,83.4,3.99,81.76,7.85,83.85,4.33,59.5,8.84,88.71,2.95,82.81,4.71,95.81,1.25
new_stat,b_dicho,Standard,GB,83.81,0.87,83.35,3.96,81.79,7.83,83.78,4.29,59.42,8.77,88.67,2.92,82.78,4.69,95.8,1.24
new_stat,r_dicho,Standard,LR,83.05,0.84,79.5,3.61,85.68,6.11,77.94,4.65,55.75,5.99,85.34,3.09,81.81,3.3,95.62,0.97
new_stat,b_dicho,MinMax,RF,84.91,1.23,80.43,3.66,82.17,7.31,80.01,4.8,55.76,6.83,86.17,3.01,81.09,3.71,95.34,1.06
new_stat,b_dicho,Standard,RF,84.9,1.23,80.42,3.7,82.21,7.24,79.98,4.88,55.73,6.8,86.17,3.05,81.1,3.67,95.34,1.05
new_stat,r_dicho,MinMax,LR,82.71,0.69,79.37,3.91,82.55,5.6,78.55,4.84,54.21,6.41,85.34,3.27,80.55,3.44,95.22,1.0
new_stat,b_dicho,Standard,SVM,84.79,0.76,78.46,3.86,77.89,6.23,78.61,5.06,51.15,6.59,84.67,3.28,78.25,3.37,94.49,1.02
new_stat,r_dicho,Standard,SVM,81.57,0.59,74.38,3.79,81.7,6.45,72.54,5.25,46.82,5.45,81.18,3.53,77.12,3.1,94.35,1.04
new_stat,b_dicho,Standard,LR,85.13,1.24,76.74,4.73,79.06,4.73,76.15,6.13,49.45,7.11,83.1,4.1,77.61,3.38,94.34,1.01
new_stat,b_dicho,MinMax,LR,84.3,0.79,77.02,5.19,78.06,5.38,76.81,6.52,49.24,8.03,83.42,4.43,77.43,3.96,94.26,1.16
new_stat,b_dicho,MinMax,SVM,84.01,1.14,75.19,5.27,76.91,6.42,74.71,7.17,46.36,7.3,81.82,4.77,75.81,3.65,93.94,1.1
new_stat,r_dicho,MinMax,SVM,81.43,0.86,71.78,3.94,80.07,7.47,69.68,5.39,42.43,6.12,79.01,3.66,74.87,3.59,93.64,1.2
new_stat,r_dicho,Standard,RF,82.41,1.19,73.69,4.6,76.04,7.95,73.12,6.31,43.66,7.22,80.7,4.18,74.58,3.92,93.54,1.2
new_stat,r_dicho,MinMax,RF,82.4,1.17,73.45,4.6,76.06,7.94,72.81,6.23,43.32,7.42,80.49,4.17,74.44,3.98,93.48,1.24
new_stat,r_dicho,MinMax,GB,81.01,0.67,74.24,3.76,67.59,10.33,76.1,5.93,40.3,6.8,81.5,3.95,71.85,4.0,93.06,1.13
new_stat,b_dicho,MinMax,DT,84.23,1.17,78.32,4.69,60.52,9.52,82.92,6.41,42.76,8.31,84.95,5.1,71.72,4.54,93.04,1.26
new_stat,r_dicho,Standard,GB,80.98,0.66,74.19,3.79,67.53,10.29,76.06,5.97,40.17,6.9,81.47,3.94,71.8,4.01,93.04,1.13
new_stat,b_dicho,Standard,DT,84.22,1.17,78.38,4.67,60.24,9.53,83.05,6.37,42.66,8.32,85.03,5.03,71.65,4.54,93.03,1.25
new_stat,r_dicho,Standard,DT,80.73,1.19,67.64,7.09,53.95,11.6,71.17,10.71,24.84,8.12,74.82,9.05,62.56,4.3,90.48,1.44
new_stat,r_dicho,MinMax,DT,80.74,1.2,67.53,6.97,54.01,11.39,71.0,10.49,24.64,8.06,74.76,8.92,62.5,4.31,90.44,1.48
