Algorithm,Scaling,Number_of_Features,aupr_mean
GB,MinMax,1,91.86
GB,MinMax,2,92.71000000000001
GB,MinMax,3,93.072
GB,MinMax,4,92.93199999999999
GB,MinMax,5,93.62
GB,MinMax,6,93.422
GB,MinMax,7,93.72200000000001
GB,MinMax,8,93.37
GB,MinMax,9,93.522
GB,MinMax,10,93.886
GB,MinMax,11,93.69
GB,MinMax,12,94.17
GB,MinMax,13,94.32000000000001
GB,MinMax,14,95.216
GB,MinMax,15,94.97
GB,MinMax,16,95.178
GB,MinMax,17,95.308
GB,MinMax,18,95.76599999999999
GB,MinMax,19,94.918
GB,MinMax,20,95.144
GB,MinMax,21,95.50800000000001
GB,MinMax,22,95.162
GB,MinMax,23,94.75
GB,MinMax,24,94.41
GB,MinMax,25,94.362
GB,MinMax,26,94.764
GB,MinMax,27,94.3
GB,MinMax,28,94.626
GB,MinMax,29,94.66799999999999
GB,MinMax,30,94.05799999999999
GB,MinMax,31,94.804
GB,MinMax,32,94.784
GB,MinMax,33,94.874
GB,MinMax,34,95.42999999999999
GB,MinMax,35,95.41
GB,MinMax,36,95.37
GB,MinMax,37,96.08
GB,MinMax,38,95.342
GB,MinMax,39,95.788
GB,MinMax,40,96.04400000000001
GB,MinMax,41,95.586
GB,MinMax,42,96.02000000000001
GB,MinMax,43,95.788
GB,MinMax,44,95.78
GB,MinMax,45,95.77799999999999
GB,MinMax,46,96.286
GB,MinMax,47,96.31800000000001
GB,MinMax,48,95.94000000000001
GB,MinMax,49,95.96000000000001
GB,MinMax,50,96.08200000000001
GB,MinMax,51,96.25
GB,MinMax,52,96.13
GB,MinMax,53,95.944
GB,MinMax,54,96.086
GB,MinMax,55,96.108
GB,MinMax,56,96.43199999999999
GB,MinMax,57,96.532
GB,MinMax,58,96.358
GB,MinMax,59,96.256
GB,MinMax,60,96.048
GB,MinMax,61,95.944
GB,MinMax,62,95.72999999999999
GB,MinMax,63,95.988
GB,MinMax,64,96.13
GB,MinMax,65,95.902
GB,MinMax,66,95.844
GB,MinMax,67,95.966
GB,MinMax,68,95.668
GB,MinMax,69,96.024
GB,MinMax,70,96.162
GB,MinMax,71,95.988
GB,MinMax,72,95.81800000000001
GB,MinMax,73,96.114
GB,MinMax,74,95.88199999999999
GB,MinMax,75,95.602
GB,MinMax,76,95.748
GB,MinMax,77,96.49
GB,MinMax,78,95.944
GB,MinMax,79,96.106
GB,MinMax,80,95.892
GB,MinMax,81,95.902
GB,MinMax,82,95.934
GB,MinMax,83,96.136
GB,MinMax,84,95.72999999999999
GB,MinMax,85,95.59
GB,MinMax,86,95.946
GB,MinMax,87,95.96
GB,MinMax,88,95.874
GB,MinMax,89,96.18199999999999
GB,MinMax,90,96.03399999999999
GB,MinMax,91,96.454
GB,MinMax,92,96.49000000000001
GB,MinMax,93,96.288
GB,MinMax,94,96.404
GB,MinMax,95,96.56
GB,MinMax,96,96.346
GB,MinMax,97,96.328
GB,MinMax,98,96.28200000000001
GB,MinMax,99,96.288
GB,MinMax,100,96.13000000000001
GB,MinMax,101,96.148
GB,MinMax,102,96.15
GB,MinMax,103,96.374
GB,MinMax,104,96.29400000000001
GB,MinMax,105,96.356
GB,MinMax,106,96.454
GB,MinMax,107,96.77799999999999
GB,MinMax,108,96.736
GB,MinMax,109,96.6
GB,MinMax,110,96.11800000000001
GB,MinMax,111,96.08
GB,MinMax,112,96.11
GB,MinMax,113,96.53
GB,MinMax,114,96.732
GB,MinMax,115,96.354
GB,MinMax,116,96.522
GB,MinMax,117,96.44800000000001
GB,MinMax,118,96.498
GB,MinMax,119,96.322
GB,MinMax,120,96.00800000000001
GB,MinMax,121,96.51
GB,MinMax,122,95.848
GB,MinMax,123,96.07000000000001
GB,MinMax,124,96.34
GB,MinMax,125,96.15599999999999
GB,MinMax,126,96.512
GB,MinMax,127,96.026
GB,MinMax,128,95.784
GB,MinMax,129,96.25399999999999
GB,MinMax,130,96.26
GB,MinMax,131,96.186
GB,MinMax,132,95.926
GB,MinMax,133,96.182
GB,MinMax,134,96.33
GB,MinMax,135,96.128
GB,MinMax,136,95.954
GB,MinMax,137,96.228
GB,MinMax,138,96.08200000000001
GB,MinMax,139,95.998
GB,MinMax,140,96.15
GB,MinMax,141,95.992
GB,MinMax,142,96.138
GB,MinMax,143,95.938
GB,MinMax,144,95.97200000000001
GB,MinMax,145,95.77000000000001
GB,MinMax,146,95.874
GB,MinMax,147,95.94000000000001
GB,MinMax,148,96.11
