,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
Debt_to_total_assets_ratio,1.0,0.12681456883176742,-0.1088514898475406,-0.01929693546546977,-0.3280033286947711,0.05663789624179859,0.012829032876102046,0.02285059550623948,0.005353768691377538,0.10381998422890469,0.12768015945720923,0.13711444370473708,-0.18528641934703824,0.045343158332607124,0.08846463029846262,-0.034515837066094505,0.0717811472584572,-0.00044315586133372644,-0.04943393047636248,-0.011479304417728799,-0.20125653163953292,0.004414911907731519,-0.03687108334084908,0.010515423525166665,-0.011256049989570976,0.049013609795139565,0.02992006415992426,0.09055585189849151,-0.00444407694956584,-0.05724977586537269,0.2249660676983491,0.021217201139120324,0.021127746332022048,-0.06061253638239032,-0.18720470324280694,-0.19638812288796362,-0.10614602070488748,-0.022597725022265317,-0.08788143638444516,0.01888621301626156,0.2809952457216578,-0.052998741994410736,0.11570832654685187,-0.1672187757544812,-0.005071460561245872
Operating_profit_to_sale,0.12681456883176742,1.0,0.03559782666399567,0.15202820379740678,-0.06477521987675051,0.14590316328347355,0.012051326178166014,-0.025302651573142796,0.06413620633597437,0.8983262910032294,0.9885705661057708,0.9917848919668495,0.12466213169826866,0.8339900396728581,0.2011559475482285,0.031999900733855675,0.24654785683181557,0.03759507222575891,0.010164943678088538,0.3148661724574425,0.149140054689655,0.041180902092666054,0.24902449173103144,0.25269920874715207,0.046982207445757276,0.019542483597216345,0.2750274436201539,0.7699213443783253,0.09433021790997347,0.13379956201602608,0.11303815081274232,-0.04765037887814203,-0.04763099947302386,0.13682679221282698,0.1873075131855884,0.22852531855820538,0.26127703280362546,0.16598249610584004,-0.0009808756509914406,-0.0697754286284237,0.09091096464286408,0.020455548816474937,0.13505929832904937,0.21667866813863967,-0.03831857323502869
Fixed_asset_turnover,-0.1088514898475406,0.03559782666399567,1.0,-0.01600109141396087,0.4062037738296091,-0.005783648680729552,0.2241747796990926,0.3245675893840363,0.018855830521027784,0.032468210284385485,0.02752927825908133,0.041836334764103145,0.040440850017520534,0.05476018852709788,0.043108906438101925,0.03007797410264821,0.18272795203079248,0.03538993445938751,0.26501278816038815,0.062360436320763914,0.02930336601627436,0.015212136946613363,0.1978633953442901,0.21764521111016802,0.033027315594795104,0.013724893913141278,0.06778139422457627,-0.029665484425929468,0.0928527589609505,-0.039053797673521004,-0.06718606644487464,0.2158029741233486,0.21579938154368145,-0.1945140192466166,-0.06358219051198677,-0.025043575175122627,-0.07636586170281813,0.1320239766033529,0.14334163745395517,-0.09006307169219542,0.1367248011547344,-0.3156415735813822,-0.21274902782815458,-0.05714213409281536,-0.012979108187777923
Return_from_market,-0.01929693546546977,0.15202820379740678,-0.01600109141396087,1.0,0.1425025124264494,0.040584460198689644,-0.05630439749327323,0.020172131087011567,0.0602736756202667,0.2845257634649844,0.15389399667532594,0.14709927050354427,0.18095136560607022,0.20180488707414465,0.6962535438872073,0.10356399300056714,0.12965780046410702,0.165114795205594,-0.05375519223500755,0.32814854202584154,0.12136605003559707,0.016350272067618174,0.3171175368959274,0.18798617155658762,0.18173894982133193,0.169417781152822,0.280924407743039,0.07906786547220085,0.591468729000862,0.4744324223668953,0.16336837348647565,-0.10612280452566822,-0.10616465277859281,0.15290151983503375,0.12257985118628908,0.14457747202337082,0.19758227532522374,0.47351569005338057,-0.027900589015399088,-0.02415212416121884,0.04734454062523108,-0.04633613011373402,-0.08784933699169006,0.1622232573169329,-0.02244461071893759
Current_assets_ratio,-0.3280033286947711,-0.06477521987675051,0.4062037738296091,0.1425025124264494,1.0,-0.08760161853680219,0.17692262614326795,0.005061447221503566,-0.00019251556176295788,-0.04793044156567816,-0.071659443423235,-0.06757811754017536,0.2683261257337355,0.06088857813148457,0.09043030573460352,0.050497529150117425,0.13558856456931095,0.043263759145383426,0.07646766150131001,0.09342044604476694,0.22530799492791934,0.002656454268173358,0.21424864553567669,0.1853651233146903,0.04966198587765301,0.009355474999085935,0.10375798708866678,-0.15890484287130574,0.14818653930206754,0.028087517776921384,-0.14076473249333193,0.1363121136342777,0.1362827128988899,-0.16489664378007948,0.05337323874181223,0.08119226080607932,-0.023681352541471398,0.13399383256169317,0.3826044355257449,0.03093234331708968,-0.31931550702693545,-0.32295920022770885,-0.3271501828168696,0.034881593961903226,0.0014092349468383
Working_capital_return,0.05663789624179859,0.14590316328347355,-0.005783648680729552,0.040584460198689644,-0.08760161853680219,1.0,0.02592673525329655,0.01666369918374985,0.0334386934923675,0.11956940202452988,0.13978775616880967,0.14468628122564084,-0.003957232596833227,0.06331058375059724,0.04200670258074743,0.0180645646034182,0.09360071858859506,0.028907957602952394,-0.008529640338465582,0.09522213853146769,0.00756385034159878,0.020486332186080945,0.09397581698989736,0.07976716953015145,0.029333471519548907,0.015075675871012627,0.08669773478861648,0.13351740687180685,0.05722987393082668,0.06989576037122631,0.054553672537495324,-0.006768677478971306,-0.006767784984164218,0.031052979896968026,0.0554965280824691,0.06182382016645269,0.09314250512249428,0.056562829020547635,-0.03684497296574789,-0.013668917381359722,0.07943147422076276,-0.003645221350993202,0.06817008452582496,0.07655509673302534,0.015221088597851097
Longterm_debt_to_equity_ratio,0.012829032876102046,0.012051326178166014,0.2241747796990926,-0.05630439749327323,0.17692262614326795,0.02592673525329655,1.0,-0.01734053582207168,0.03645694470217435,-0.012651144950841211,-0.008675297617213572,0.020362293407666286,-0.24774508678108675,-0.025682496393808492,-0.07706756308654833,0.010858905006748036,0.19526784349882004,0.0534499206607311,-0.08663048536939066,-0.13079305991871396,-0.14291109042142838,0.02251174345359993,0.2676693893143682,0.2032097308814073,0.042090504481313,0.02389763349731142,-0.074072006349253,-0.04530170698161929,0.09171131227176686,-0.09088232259057118,-0.08045799100099875,0.6932523529166876,0.6931781977804162,-0.5757655310424223,-0.08272465444040401,-0.0715915882510633,-0.1768279267980397,0.0013437695243925828,0.051258970651152716,-0.03617785734663285,0.09835502765290322,-0.3584515759976978,-0.09076653827497552,-0.10316756334784347,-0.028589650429990104
Return_ratio_without_risk,0.02285059550623948,-0.025302651573142796,0.3245675893840363,0.020172131087011567,0.005061447221503566,0.01666369918374985,-0.01734053582207168,1.0,-0.006494534011445956,0.006046189884026373,-0.026797336889347437,-0.023236386578411723,0.01202824935803198,-0.031052901629561706,0.1429192307738831,0.013498999197151413,0.05680795798386861,-0.029705378437066554,0.3666811753367748,0.07312697474440395,-0.07322466663963359,-0.0006420439373894483,0.042265395043138164,0.06836167898098629,-0.020158620841637106,-0.01908024621502707,0.04894876686216703,-0.020631845018119998,0.08044303682357491,0.04979482058594029,-0.023207866784669958,-0.007193055622519999,-0.007214814323690194,0.020859193060256687,-0.0038732294131342397,0.009675304974735023,0.027942791517605935,0.012352080476572165,-0.09121790930715573,-0.06312981464483101,0.08487505938712651,-0.08888118434094532,-0.0564588860154956,0.019407659176069462,0.004961041199257953
Profit_margin_growth_rate,0.005353768691377538,0.06413620633597437,0.018855830521027784,0.0602736756202667,-0.00019251556176295788,0.0334386934923675,0.03645694470217435,-0.006494534011445956,1.0,0.07308304137052402,0.0678038493924963,0.06373631604468293,0.11120183941434615,0.06998471209256986,0.06857177845214257,0.028119607758900107,0.038504208419926175,0.10427317665037518,0.11958055819262585,0.07302614752413729,0.14748553774178721,0.028741058719823163,0.061035546300620774,0.05674087931353168,0.11118409669455329,0.039839780713099605,0.049053993326804365,0.04721888921362785,0.07570833739862722,0.13777444650503579,0.04961058186322352,0.022540478875294333,0.02254410590384321,0.027885699551697018,0.01954321813028953,0.015153526208276936,0.17569543317313954,0.051215909689933586,-0.026554536969983465,0.027213429362922283,0.024417708962097988,0.03820424141645554,0.002359597080992941,0.15579689902726288,-0.02628120875058953
Stock_market_value,0.10381998422890469,0.8983262910032294,0.032468210284385485,0.2845257634649844,-0.04793044156567816,0.11956940202452988,-0.012651144950841211,0.006046189884026373,0.07308304137052402,1.0,0.9130047909268276,0.8890529051447983,0.15044192543553578,0.8279032152828247,0.3444582816991481,0.044403508308037916,0.2213566029048464,0.05084131798042957,0.014623389867560191,0.3178083282699262,0.16556097557483904,0.04475307465638523,0.23712132329972893,0.24160715485683773,0.06449203351383885,0.06626325611239779,0.27177797460597525,0.6872761136512168,0.24451067671112092,0.2715510046271422,0.12881140432190447,-0.07257769556913957,-0.07255561155440547,0.1686674617332265,0.16176648682441616,0.20280756317345178,0.2683837451808418,0.21978700391286296,-0.0007965896691864651,-0.0714939058605444,0.09169992552978802,0.048855149381210515,0.086436646633315,0.2141601520934542,-0.04177042403159866
