,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
Debt_to_total_assets_ratio,1.0,0.07182844808704528,-0.046642523963004924,-0.024202204561053795,-0.28080682123967665,0.03059781154161924,-0.019314189889182248,0.03544634849334558,-0.028568800543391604,0.06091941684606473,0.07417614108787128,0.0780431315904018,-0.1485399273482859,0.04398057391099791,0.059895316809600425,-0.054213867121667474,0.10645030421450674,0.03265596984585218,-0.05029324680215157,0.0060673051023177734,-0.13447629935729297,-0.02815202200288084,0.010783431334303368,0.0695562913527713,0.01648672091819487,0.06913820918737991,0.05680062766477649,0.04781921125946423,0.017580843287753663,-0.05396611340517993,0.18441425060625938,-0.014128905813782405,-0.014168852827652833,-0.06313953882021663,-0.17017862000701944,-0.14951824412901465,-0.09850673421108042,-0.017722984684530676,-0.057703035157931425,-0.059906498336449454,0.26554288344942567,-0.08973451603365375,0.10147090824981674,-0.12947572341952635,0.02596248678065231
Operating_profit_to_sale,0.07182844808704528,1.0,-0.015350396432541494,0.13309237691376832,-0.021921415149967875,0.032547186076153166,-0.03632661737275434,0.003346968120150009,-0.0059515220665734446,0.9707491457419579,0.9939520438718591,0.9967534350082379,0.046798691646605654,0.967610447723518,0.144268736414642,-0.0027455625135978158,0.1365103144828572,-0.0034317987411090693,0.003079921098104133,0.23431533458033596,0.03528640095147161,-0.005486567219976078,0.10787772474811869,0.14976427727400013,-0.0029877195734111903,-0.02277419379847062,0.19584141457555276,0.895632033252579,-0.011759808449412526,-0.001091043841886621,0.07998752937672829,-0.09123058592691963,-0.09122479056144185,0.15912440312417606,0.15384508900178304,0.18217306450502915,0.09875910167206897,0.1398571344323434,0.040167353093366595,-0.05344581381125652,0.029591720394937356,-0.005444725022510168,0.10093839777225758,0.0881376218938846,0.004662366792067209
Fixed_asset_turnover,-0.046642523963004924,-0.015350396432541494,1.0,0.012691676885075132,0.3354901066640405,-0.033290644798769364,0.07661014294536457,0.2774423417551985,-0.02128275272932833,-0.012430120239688487,-0.015607419304963519,-0.00843757061977015,-0.03930979553077686,-0.0003959574905556646,0.05166153363554822,0.049650865486824,0.062174440297651574,0.005142780310457411,0.09423521195397543,0.006573380182861562,-0.03437448363536468,-0.004146234064357749,0.09122775599062764,0.08715328602422678,0.0017415112089149362,-0.010574649516833854,0.042848684399318646,-0.0258562771640132,0.06298244397401939,-0.046446523970880706,-0.025566754366270192,0.15725100229925823,0.15725202989183837,-0.16690064507082866,-0.150312535966231,-0.11465179656756957,-0.10344269893332288,0.10636731309873744,0.14212082241901425,-0.09514995099901233,0.2533431355625872,-0.1950712896816587,-0.19173384667102528,-0.10737894624581616,-0.0062316996042433405
Return_from_market,-0.024202204561053795,0.13309237691376832,0.012691676885075132,1.0,0.17661383119647017,0.05139086025242669,-0.013400746786878252,0.07897766254807424,0.05646314752698274,0.17231982246739835,0.14117624785007538,0.13587052162697363,0.15273585447525065,0.14028905005290362,0.767327769066823,0.09709936376581943,0.12358581765049734,0.06371959503219245,0.04503992903839573,0.35962094882688384,0.12590035018574736,-0.04075329098091299,0.2718149495122908,0.18191058510303043,0.07831680511973026,0.13388823716919962,0.3369848378559601,0.0972042945494803,0.5522272231151159,0.16004147564606502,0.19336022695388022,-0.1560869037880896,-0.15610106928606082,0.21060492889362356,0.1452929984059299,0.16185578339492113,0.1985206842247281,0.4385410098528872,-0.01394198015747378,0.0204326503200752,0.022645724260311622,0.02741042633163288,-0.06601194226261439,0.1792821964332323,-0.01450474144916663
Current_assets_ratio,-0.28080682123967665,-0.021921415149967875,0.3354901066640405,0.17661383119647017,1.0,-0.10171435350217677,0.048193045983828633,0.04198566257121145,0.05075399507099264,-0.0063102845286512445,-0.020430635317274064,-0.02149923958033551,0.17930917616466216,0.027148754624585974,0.13863610764573742,0.02576643505339246,0.09910454095862067,0.018259035622236134,0.11352179798040937,0.12692679132766577,0.14095356756352168,0.034499042388742115,0.17070669452720047,0.14889522320379203,0.026462579725806908,-0.0056654164712994035,0.1312598120364957,-0.0728697939947867,0.1677459745178079,0.06106747327037162,-0.07434041000657603,0.08590373243298703,0.08589154986506076,-0.09678177128385555,0.0290615300035503,0.03996858509347454,0.050982045993323996,0.1331833322886652,0.38068636068210276,0.08007492172157842,-0.23084730899765382,-0.14334779664377043,-0.27622844288279313,0.0691367163829072,-0.023586538066233214
Working_capital_return,0.03059781154161924,0.032547186076153166,-0.033290644798769364,0.05139086025242669,-0.10171435350217677,1.0,-0.0096181129838857,-0.011446250499517531,-0.0021959882724702736,0.022113779708155187,0.03377462855690336,0.03356179225621965,-0.02232293078788998,0.0013287521980660782,0.050207856898725874,0.010812451101855086,0.06348721542640665,0.0007525405515128458,-0.02278863374862021,0.05699772408325848,-0.012967011253945252,-0.0028283748540594584,0.0452952737983415,0.04753814642912778,0.00030930340219494936,-0.0033919026310526425,0.06000852543269568,0.04457732551090555,0.07153966463726986,0.020038065623832924,0.07543108378419137,-0.03230501803319211,-0.03230321028949855,0.026769510467923807,0.09400762126089761,0.10402756934031386,0.054874614079630735,0.0472988802361118,-0.07817376167307694,-0.01953288398042378,0.022546341580133477,8.142214831585994e-05,0.09712822591973597,0.05437875424040671,0.027152460850205448
Longterm_debt_to_equity_ratio,-0.019314189889182248,-0.03632661737275434,0.07661014294536457,-0.013400746786878252,0.048193045983828633,-0.0096181129838857,1.0,0.005054946238787898,-0.012182809185940053,-0.03560381434991115,-0.04039747633876109,-0.035350299883540735,-0.09427027005260304,-0.03601534734780048,-0.02514499863179575,-0.008045012060833143,-0.005886734452771376,0.1873276482704011,-0.04404986958642879,-0.08552338155375631,-0.06877191230892386,-0.012411271318782405,0.44261174225145833,0.0025214099485102275,0.15449508752409294,0.0028002909542920174,-0.0569259172338495,-0.03811722890024281,0.0814793402061336,-0.02384138138260512,-0.04090480879860308,0.2901467658190533,0.2901375003764236,-0.24972081982053893,-0.08744099307190388,-0.0847474077151116,-0.08689772967359838,0.016354131936706692,-0.011207711879999579,-0.019485342152276597,0.04903726363850293,-0.10294375920401655,-0.05990153262762319,-0.07768886162323914,-0.0121326750621089
Return_ratio_without_risk,0.03544634849334558,0.003346968120150009,0.2774423417551985,0.07897766254807424,0.04198566257121145,-0.011446250499517531,0.005054946238787898,1.0,0.011904231971513081,0.02400362542115203,0.00414615620738244,0.006839917955491839,0.015090871318556104,0.013676656630897562,0.20740514306240723,0.02346832019986036,0.04451876657592232,-0.03361841845312533,0.19789488676911882,0.06457130828266881,-0.006437234985504829,0.03971415718509556,0.012876788783776152,0.06157754889491131,-0.024747931002800604,-0.005130718643727313,0.0542822003495056,0.0021780644774058297,0.12396229632648832,0.035843738353452746,0.01399936333588665,0.010328337117787478,0.01031754358213677,-0.003382736185724814,-0.022220698919609972,-0.012522957641197086,0.028754283150131173,0.042096771535002,-0.0879001748251304,-0.040704511660531004,0.09647220458919571,-0.048780788357545776,-0.06838107775013648,0.020866246468730858,-0.011197966071386784
Profit_margin_growth_rate,-0.028568800543391604,-0.0059515220665734446,-0.02128275272932833,0.05646314752698274,0.05075399507099264,-0.0021959882724702736,-0.012182809185940053,0.011904231971513081,1.0,-0.0037522816111051093,-0.0037948003532493704,-0.006213475139263946,0.29470560501571463,-0.0026298592505063488,0.05799050559978571,-0.001994937858677139,-0.010503598905251418,0.07624067370725982,0.7543881003865441,0.17683226236384664,0.3362826779602183,-0.001001564905509714,0.09474885429421487,0.03733246208321673,0.07703851578351938,-0.004355039094475279,0.10753247513554882,-0.0036578015803932808,-0.00011129714792934832,0.11394706920842698,0.16141496737903166,-0.02945272500906232,-0.029451443625619262,0.08502209531169153,-0.01584143409305185,-0.03964675550965896,0.7216681844153031,-0.01911929422005748,-0.02011814423912385,0.11090847744762912,-0.04031573989879787,0.09687353720266731,0.0022247859726813837,0.7122391151327809,0.0009946051616633235
Stock_market_value,0.06091941684606473,0.9707491457419579,-0.012430120239688487,0.17231982246739835,-0.0063102845286512445,0.022113779708155187,-0.03560381434991115,0.02400362542115203,-0.0037522816111051093,1.0,0.9756691786042253,0.9688236789203818,0.0549569738218044,0.9541780194130691,0.1937355236878462,0.0010188789147726996,0.16207636241187703,0.001579961994008972,0.009988745332391202,0.2373266989974137,0.04484541151947288,-0.005431319030755706,0.10838000485517033,0.17593411047794416,0.002992309137497621,-0.011220078911553948,0.19422000507085083,0.8367663741312895,0.04184480007981187,0.026984587874789717,0.08614802338221547,-0.09489431639944171,-0.0948884038510946,0.1638668382581128,0.14334925311972382,0.16623284021971385,0.10664249080521862,0.15498772354490348,0.04253690454662174,-0.0404799143605198,0.02431808787019605,0.009154244220968926,0.08863644348963862,0.09446049195162347,0.005319284104267523
