,Feature,Correlation_with_b_dicho
18,Liquidity_ratios,0.3533211485496468
43,Profit_margin_before_interest_and_taxes,0.3057482573406396
21,Average_payment_period,0.28779283424418023
5,Working_capital_return,0.2757928284948734
29,P_to_S,0.259545232816053
23,EPS,0.2473193089545088
2,Fixed_asset_turnover,0.2357830827066441
38,Current_debt_to_total_debt_Ratio,0.23138140809839827
17,EPS_growth,0.19751005600591476
41,Operating_cash_flow_to_sales,0.1911078157985145
9,Stock_market_value,0.18744286876135272
30,Cash_to_total_assets_ratio,0.1842437985864399
22,ROE,0.17277452412951239
6,Longterm_debt_to_equity_ratio,0.1696006932356312
16,DPS,0.15656940216543175
31,Debt_to_equity_ratio,0.1531121830628203
7,Return_ratio_without_risk,0.12098527156069326
13,Net_working_capital,0.11988344136453213
4,Current_assets_ratio,0.10560726513519327
28,P_to_B,0.10456157254758049
40,Sale_to_current_assets,0.09704573363754673
27,Capital,0.0966391276690071
35,Operating_profit_margin,0.09612616522474131
42,Cash_flow_returns_to_sales,0.09594943659687971
15,Total_asset_turnover,0.08844430880067664
12,Current_ratio,0.08327323572603124
14,Operating_assets_Ratio,0.08280701470007011
39,Cost_to_sales_ratio,0.08076778711314814
26,ROI,0.07363659145442328
8,Profit_margin_growth_rate,0.06650530613728925
33,DuPont_Ratio,0.062252937242446
25,P_to_E,0.057964502122552976
34,Gross_profit_margin,0.04843101013955306
3,Return_from_market,0.04326775734838332
11,Net_profit_to_Gross_profit,0.04116854214987847
0,Debt_to_total_assets_ratio,0.03677509206963353
19,ROA,0.0353156444360515
36,Net_profit_margin,0.030244559359310308
24,Total_income_growth,0.02938966528089481
10,Net_profit_to_sale,0.020511922416486507
20,Quick_Ratio,0.014984788187475999
37,Sales_growth_rate,0.014114979509235737
32,Equity_Ratio,0.010654276063696332
1,Operating_profit_to_sale,0.009981221981969435
44,Net_return_on_working_capital,2.280769831721959e-05
