,Feature,Correlation_with_r_dicho
14,Operating_assets_Ratio,0.400121442936331
10,Net_profit_to_sale,0.3404523208254667
2,Fixed_asset_turnover,0.30523248135211994
4,Current_assets_ratio,0.28773794095590954
15,Total_asset_turnover,0.28395039500537395
35,Operating_profit_margin,0.2655979977630489
31,Debt_to_equity_ratio,0.2298885079548153
22,ROE,0.22936062886630007
40,Sale_to_current_assets,0.22841650442982003
23,EPS,0.14767651625219896
21,Average_payment_period,0.13538735710725475
6,Longterm_debt_to_equity_ratio,0.13493097052679037
18,Liquidity_ratios,0.1313964104547223
17,EPS_growth,0.13026230269487776
16,DPS,0.12682581648757588
34,Gross_profit_margin,0.1222369635989147
9,Stock_market_value,0.11789286358272404
28,P_to_B,0.11595902140398252
3,Return_from_market,0.10823265464973106
19,ROA,0.1023097130329244
39,Cost_to_sales_ratio,0.10139200441462591
29,P_to_S,0.09696956472394308
20,Quick_Ratio,0.08951782145609279
33,DuPont_Ratio,0.08062342089878122
0,Debt_to_total_assets_ratio,0.07906698796218864
37,Sales_growth_rate,0.07018056874407211
11,Net_profit_to_Gross_profit,0.06934625408496105
7,Return_ratio_without_risk,0.0669704213215584
36,Net_profit_margin,0.05799822071502937
25,P_to_E,0.054941926465010484
8,Profit_margin_growth_rate,0.05407139296439895
38,Current_debt_to_total_debt_Ratio,0.05264781671426342
32,Equity_Ratio,0.05013997337760426
26,ROI,0.05013143428013616
27,Capital,0.04435592441949346
24,Total_income_growth,0.04212053551061253
30,Cash_to_total_assets_ratio,0.039891092895082914
1,Operating_profit_to_sale,0.03738023255370791
5,Working_capital_return,0.014500265450672992
42,Cash_flow_returns_to_sales,0.013144266278593778
13,Net_working_capital,0.005430925085929045
41,Operating_cash_flow_to_sales,0.0036020709927117164
12,Current_ratio,0.002817319716810735
43,Profit_margin_before_interest_and_taxes,0.0017046706247944936
44,Net_return_on_working_capital,2.7559820598000834e-05
