CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
1,1390,50.83333336,-0.260216022,0.71,37246.0,9.62,11.2071741,0.51,-27.47,3.0,20,0.0,205000000000.0,37808.0,44200.0,0.83,-11475.0,0.0,2.4,3000.0,0.6,0.76,28.64,0.48,172.21,70.83,3024.0,0.6,5.43,41.09,12500.0,3.41,0.65,3.0,1.26,2.26,44.34,13.97,11.78,11.95,30.27,89.55,2.55,5.64,3.95,16.32,13.42,-287.64
2,1390,27.22298228,1.117635286,0.0,36866.0,0.83,11.2071741,0.47,568.96,1.49,20,0.94,314000000000.0,93793.0,45347.0,1.22,22999.0,0.0,0.56,700.0,1.57,1.21,40.74,1.14,285.87,73.55,1563.0,1.57,3.35,52.34,60000.0,1.99,2.44,7.57,0.74,1.74,57.52,35.23,28.64,72.87,32.2,90.81,6.64,1.0,46.62,3.88,80.36,568.96
3,1390,-4.792332299,1.301283592,0.31,6002043.0,1.49,11.2071741,0.54,108.73,0.57,20,0.11,35200000000000.0,6034781.0,6059558.0,3.79,5342034.0,0.0,0.71,1000.0,0.33,0.0,44.44,2.33,219.53,51.31,1005.0,0.33,5.84,44.68,6000000.0,2.79,3.64,12.75,0.2,1.2,83.62,62.7,62.1,62.44,19.48,77.61,0.6,1.33,62.08,45.77,62.53,108.73
4,1390,35.09933773,1.562188671,0.58,6231235.0,1.3,11.2071741,0.59,243.08,1.75,20,0.17,39500000000000.0,6188991.0,6216726.0,2.04,3880860.0,0.0,0.69,980.0,-0.27,1.69,44.78,1.38,83.12,59.21,1031.0,0.47,6.38,46.4,6000000.0,3.05,4.16,19.71,0.27,1.27,78.87,65.57,65.73,65.28,18.42,94.45,4.11,1.42,63.29,47.45,71.82,222.61
6,1390,167.0454545,0.899287381,0.0,41625.0,6.85,11.2071741,0.96,32.0,0.32,20,0.37,718000000000.0,41625.0,66574.0,6.78,148913.0,0.0,1.04,100.0,-0.62,4.29,25.98,4.02,138.02,32.75,822.0,0.89,17.26,26.62,50625.0,4.9,4.29,1.01,0.24,1.24,80.52,39.77,24.87,24.87,50.19,72.65,14.9,0.96,30.24,2.57,24.87,32.07
9,1390,336.2728785,0.573319403,0.0,40277.0,0.86,11.2071741,0.51,-83.97,1.53,20,17.89,677000000000.0,70831.0,56445.0,1.21,25976.0,0.0,0.5,1000.0,16.17,1.02,26.85,0.87,166.78,58.72,2799.0,16.13,9.56,31.75,25300.0,4.68,5.12,2.78,1.03,2.03,49.38,42.71,30.48,53.6,33.69,82.73,12.67,0.89,19.14,22.39,66.08,896.82
10,1390,59.15492954,0.853890198,0.0,144748.0,4.65,11.2071741,0.78,65.82,1.07,20,-0.13,2000000000000.0,168939.0,185198.0,3.04,279337.0,0.0,0.89,650.0,-0.43,2.45,31.85,1.84,58.41,44.26,844.0,0.43,11.83,35.21,200000.0,4.79,4.21,20.6,0.36,1.36,73.63,39.05,30.52,35.62,63.34,91.85,8.54,1.14,42.17,41.31,36.37,71.74
11,1390,7.142857143,0.244167906,0.0,20761.0,1.54,11.2071741,0.67,90.42,1.13,20,-0.04,89208000000.0,15575.0,30990.0,1.43,21538.0,0.0,0.89,400.0,0.33,1.23,16.34,1.03,267.92,31.26,494.0,0.33,5.73,23.39,31500.0,1.68,1.06,6.58,0.91,1.91,52.35,36.68,24.57,18.43,20.46,91.24,12.11,1.39,37.28,29.46,25.43,80.93
14,1390,16.2303665,-0.072831552,0.0,-16842.0,0.99,11.2071741,0.7,2.95,1.29,20,-1.09,148000000000.0,1253.0,-9041.0,1.34,44907.0,0.0,0.6,,-1.07,1.02,0.54,0.55,182.74,1.16,10.0,-1.07,118.7,0.64,125000.0,1.36,1.06,7.0,1.29,2.29,43.68,-6.47,-12.06,0.9,-5.87,93.15,8.21,0.79,89.49,-32.73,7.67,2.95
15,1390,0.0,0.0,0.0,15915.0,2.31,11.2071741,0.82,118.44,1.57,20,17.44,56950000000.0,75691.0,26476.0,2.61,99940.0,0.0,0.61,1000.0,22.64,2.1,47.07,1.48,257.3,80.13,1513.0,22.5,0.75,39.35,50000.0,0.43,0.58,27.91,0.5,1.5,66.56,27.09,16.28,77.44,27.59,93.55,4.94,0.6,51.15,-22.19,86.14,118.44
